Id,Neighborhood,HouseStyle,Heating,CentralAir,GarageCars,GarageArea,SalePrice
135,Sawyer,1Story,GasA,Y,1,774,180000
136,NWAmes,1Story,GasA,Y,1,774,174000
137,NAmes,1Story,GasA,Y,1,772,143000
138,Mitchel,1Story,GasA,Y,1,772,171000
139,CollgCr,2Story,GasA,Y,1,770,230000
140,CollgCr,2Story,GasA,Y,1,768,231500
141,NAmes,1Story,GasA,Y,1,766,115000
142,CollgCr,1Story,GasA,Y,1,765,260000
143,NAmes,1.5Fin,GasA,Y,1,765,166000
144,CollgCr,1Story,GasA,Y,1,758,204000
145,Sawyer,1Story,GasA,Y,1,758,125000
146,Edwards,2Story,GasA,Y,1,758,130000
147,BrkSide,1Story,GasA,Y,1,757,105000
148,Gilbert,2Story,GasA,Y,1,756,222500
149,SawyerW,1Story,GasA,Y,1,754,141000
150,BrkSide,1.5Fin,GasA,Y,1,753,115000
151,CollgCr,1Story,GasA,Y,1,752,122000
152,NridgHt,1Story,GasA,Y,1,750,372402
153,NWAmes,2Story,GasA,Y,1,750,190000
154,ClearCr,1Story,GasA,Y,1,750,235000
155,OldTown,1Story,GasA,Y,1,749,125000
156,Edwards,1.5Fin,Grav,N,1,748,79000
157,NAmes,1Story,GasA,Y,1,746,109500
158,Timber,2Story,GasA,Y,1,746,269500
159,Somerst,2Story,GasA,Y,1,740,254900
160,Gilbert,2Story,GasA,Y,1,739,320000
161,Veenker,1Story,GasA,Y,1,738,162500
162,NridgHt,2Story,GasA,Y,1,736,412500
163,NridgHt,1Story,GasA,Y,1,736,220000
164,OldTown,1.5Unf,GasA,Y,1,736,103200
165,OldTown,1Story,GasA,Y,1,732,152000
166,Edwards,1.5Fin,GasA,Y,1,726,127500
167,ClearCr,1Story,GasA,Y,1,722,190000
168,NridgHt,2Story,GasA,Y,1,721,325624
169,Gilbert,2Story,GasA,Y,1,720,183500
170,Timber,1Story,GasA,Y,1,720,228000
171,OldTown,1.5Fin,GasA,Y,1,720,128500
172,NAmes,1Story,GasA,Y,1,720,215000
173,StoneBr,2Story,GasA,Y,1,720,239000
174,NAmes,1Story,GasA,Y,1,719,163000
175,Timber,1Story,GasA,Y,1,716,184000
176,Edwards,1Story,GasA,Y,1,714,243000
177,ClearCr,2Story,GasA,Y,1,712,211000
178,Sawyer,1.5Fin,GasA,Y,1,712,172500
179,StoneBr,1Story,GasA,Y,1,711,501837
180,OldTown,1Story,GasA,Y,1,708,100000
181,Somerst,2Story,GasA,Y,1,706,177000
182,Crawfor,2Story,GasA,Y,1,704,200100
183,Edwards,1Story,GasA,Y,1,702,120000
184,OldTown,1.5Fin,GasA,Y,1,702,200000
185,BrkSide,1.5Fin,GasA,Y,1,701,127000
186,OldTown,2.5Fin,GasA,Y,1,696,475000
187,Mitchel,SLvl,GasA,Y,1,694,173000
188,OldTown,1.5Fin,GasA,Y,1,693,135000
189,SawyerW,SFoyer,GasA,Y,1,691,153337
190,StoneBr,1Story,GasA,Y,1,691,286000
191,Crawfor,2Story,GasA,Y,1,690,315000
192,NAmes,2Story,GasA,Y,1,689,184000
193,CollgCr,1Story,GasA,Y,1,686,192000
194,Edwards,2Story,GasA,Y,1,685,130000
195,CollgCr,1Story,GasA,Y,1,684,127000
196,NPkVill,2Story,GasA,Y,1,684,148500
197,Somerst,1Story,GasA,Y,1,683,311872
198,NAmes,2Story,GasA,Y,1,682,235000
199,OldTown,2.5Fin,GasA,Y,1,680,104000
200,NridgHt,1Story,GasA,Y,1,680,274900
201,Edwards,1Story,GasA,Y,1,678,140000
202,Mitchel,1Story,GasA,Y,1,678,171500
203,OldTown,1.5Fin,GasA,Y,1,676,112000
204,CollgCr,1Story,GasA,Y,1,676,149000
205,OldTown,1.5Fin,GasA,Y,1,676,110000
206,Gilbert,1Story,GasA,Y,1,676,180500
207,Sawyer,1Story,GasA,Y,1,676,143900
208,NAmes,1Story,GasA,Y,1,675,141000
209,SawyerW,2Story,GasA,Y,1,673,277000
210,NAmes,1Story,GasA,Y,1,672,145000
211,Edwards,1Story,GasA,N,1,672,98000
212,Edwards,1Story,GasA,Y,1,672,186000
213,Somerst,2Story,GasA,Y,1,672,252678
214,CollgCr,1Story,GasA,Y,1,672,156000
215,CollgCr,2Story,GasA,Y,1,672,161750
216,NAmes,1Story,GasA,Y,1,672,134450
217,CollgCr,1Story,GasA,Y,1,672,210000
218,OldTown,2Story,GasA,N,1,672,107000
219,Crawfor,1.5Fin,GasA,Y,1,672,311500
220,Blmngtn,1Story,GasA,Y,1,672,167240
221,CollgCr,1Story,GasA,Y,1,672,204900
222,Gilbert,2Story,GasA,Y,1,672,200000
223,NWAmes,2Story,GasA,Y,1,672,179900
224,NAmes,1Story,GasA,Y,1,672,97000
225,NridgHt,1Story,GasA,Y,1,671,386250
226,BrDale,2Story,GasA,Y,1,670,112000
227,NoRidge,2Story,GasA,Y,1,670,290000
228,BrDale,2Story,GasA,Y,1,668,106000
229,Sawyer,1Story,GasA,Y,1,667,125000
230,Blmngtn,1Story,GasA,Y,1,666,192500
231,NAmes,1Story,GasA,Y,1,666,148000
232,NoRidge,2Story,GasA,Y,1,666,403000
233,BrDale,2Story,GasA,Y,1,665,94500
234,CollgCr,1Story,GasA,Y,1,663,128200
235,Gilbert,2Story,GasA,Y,1,662,216500
236,BrDale,2Story,GasA,Y,1,660,89500
237,CollgCr,1Story,GasA,Y,1,660,185500
238,SawyerW,2Story,GasA,Y,1,660,194500
239,NridgHt,1Story,GasA,Y,1,660,318000
240,Edwards,1.5Fin,GasA,Y,1,660,113000
241,Somerst,1Story,GasA,Y,1,660,262500
242,OldTown,1Story,GasA,Y,1,660,110500
243,OldTown,1.5Fin,GasA,N,1,660,79000
244,SawyerW,2Story,GasA,Y,1,660,120000
245,SawyerW,2Story,GasA,Y,1,656,205000
246,NWAmes,1Story,GasA,Y,1,656,241500
247,OldTown,2Story,GasA,N,1,656,137000
248,NAmes,1Story,GasA,Y,1,650,140000
249,CollgCr,2Story,GasA,Y,1,650,180000
250,ClearCr,1.5Fin,GasA,Y,1,648,277000
251,BrkSide,1Story,GasA,Y,1,648,76500
252,Crawfor,1Story,GasA,Y,1,648,235000
253,SawyerW,2Story,GasA,Y,1,648,173000
254,NAmes,SLvl,GasA,Y,1,648,158000
255,NAmes,1Story,GasA,Y,1,648,145000
256,Gilbert,2Story,GasA,Y,1,648,230000
257,Somerst,2Story,GasA,Y,1,647,207500
258,CollgCr,1Story,GasA,Y,1,645,220000
259,CollgCr,2Story,GasA,Y,1,645,231500
260,OldTown,1Story,GasA,Y,1,644,97000
261,NAmes,SLvl,GasA,Y,1,644,176000
262,CollgCr,2Story,GasA,Y,1,642,276000
263,Sawyer,SLvl,GasA,Y,1,642,151000
264,OldTown,1.5Fin,GasA,Y,1,642,130000
265,OldTown,1Story,GasA,N,1,641,73000
266,NWAmes,1Story,GasA,Y,1,639,175500
267,Gilbert,2Story,GasA,Y,1,636,185000
268,SWISU,2.5Fin,GasA,Y,1,632,179500
269,IDOTRR,1Story,GasA,Y,1,632,120500
270,Edwards,1Story,GasA,Y,1,632,148000
271,Somerst,2Story,GasA,Y,1,630,266000
272,ClearCr,1Story,GasA,Y,1,630,241500
273,NoRidge,2Story,GasA,Y,1,630,290000
274,NAmes,1Story,GasA,Y,1,628,139000
275,Mitchel,1Story,GasA,Y,1,628,124500
276,BrkSide,1.5Fin,GasW,N,1,627,205000
277,Mitchel,1Story,GasA,Y,1,626,201000
278,Gilbert,1Story,GasA,Y,1,626,141000
279,NridgHt,1Story,GasA,Y,1,626,415298
280,ClearCr,2Story,GasA,Y,1,625,192000
281,SawyerW,2Story,GasA,Y,1,625,228500
282,Somerst,1Story,GasA,Y,1,624,185000
283,NridgHt,1Story,GasA,Y,1,624,207500
284,Somerst,1Story,GasA,Y,1,624,244600
285,SawyerW,1Story,GasA,Y,1,624,179200
286,Somerst,2Story,GasA,Y,1,624,164700
287,NAmes,1.5Fin,GasA,Y,1,624,159000
288,NAmes,1Story,GasA,Y,1,624,88000
289,Sawyer,1Story,GasA,Y,1,622,122000
290,BrkSide,2Story,GasA,Y,1,621,153575
291,CollgCr,2Story,GasA,Y,1,621,233230
292,SWISU,2Story,GasA,N,1,621,135900
293,Edwards,1.5Fin,GasA,Y,1,620,131000
294,NWAmes,2Story,GasA,Y,1,619,235000
295,NAmes,1Story,GasA,Y,1,619,167000
296,Mitchel,SLvl,GasA,Y,1,618,142500
297,IDOTRR,1.5Fin,GasA,Y,1,617,152000
298,Somerst,2Story,GasA,Y,1,616,239000
299,NWAmes,2Story,GasA,Y,1,615,175000
300,Crawfor,1Story,GasA,Y,1,615,158500
301,Crawfor,1Story,GasA,Y,1,615,157000
302,CollgCr,2Story,GasA,Y,1,614,267000
303,CollgCr,1Story,GasA,Y,1,614,205000
304,CollgCr,1Story,GasA,Y,1,613,149900
305,OldTown,2.5Fin,GasA,Y,1,612,295000
306,CollgCr,1Story,GasA,Y,1,612,305900
307,SawyerW,2Story,GasA,Y,1,611,225000
308,IDOTRR,1.5Fin,GasA,Y,1,610,89500
309,Edwards,1Story,GasA,Y,1,610,82500
310,NridgHt,1Story,GasA,Y,1,608,360000
311,Gilbert,2Story,GasA,Y,1,608,165600
312,NAmes,1Story,GasA,Y,1,606,132000
313,OldTown,1.5Fin,GasA,Y,1,606,119900
314,Timber,1Story,GasW,Y,1,605,375000
315,OldTown,2Story,GasA,Y,1,604,178000
316,Gilbert,2Story,GasA,Y,1,603,188500
317,NWAmes,2Story,GasA,Y,1,603,260000
318,Somerst,2Story,GasA,Y,1,602,270000
319,NoRidge,2Story,GasA,Y,1,601,260000
320,NWAmes,SLvl,GasA,Y,1,600,187500
321,NridgHt,2Story,GasA,Y,1,600,342643
322,NridgHt,2Story,GasA,Y,1,600,354000
323,SawyerW,2Story,GasA,Y,1,600,301000
324,OldTown,1Story,GasA,Y,1,598,126175
325,NAmes,SLvl,GasA,Y,1,596,242000
326,IDOTRR,1.5Unf,GasA,N,1,596,87000
327,Veenker,1Story,GasA,Y,1,595,324000
328,NAmes,1Story,GasA,Y,1,594,145250
329,BrkSide,2.5Unf,GasA,N,1,592,214500
330,IDOTRR,2Story,GasA,N,1,592,78000
331,NAmes,1Story,GasA,Y,1,590,119000
332,NAmes,1Story,GasA,Y,1,588,139000
333,NridgHt,1Story,GasA,Y,1,588,284000
334,NridgHt,1Story,GasA,Y,1,588,207000
335,Gilbert,2Story,GasA,Y,1,588,192000
336,Timber,1.5Fin,GasA,Y,1,588,228950
337,StoneBr,1Story,GasA,Y,1,588,377426
338,CollgCr,1Story,GasA,Y,1,588,214000
339,NWAmes,1Story,GasA,Y,1,588,202500
340,NAmes,1Story,GasA,Y,1,586,155000
341,Timber,2Story,GasA,Y,1,586,202900
342,SawyerW,1Story,GasA,Y,1,583,82000
343,NAmes,1Story,Wall,N,1,583,87500
344,NridgHt,1Story,GasA,Y,1,583,266000
345,MeadowV,2Story,GasA,Y,1,582,85000
346,BrkSide,1.5Fin,GasA,Y,1,578,140200
347,NAmes,1Story,GasA,Y,1,578,151500
348,NAmes,1Story,GasA,Y,1,578,157500
349,NridgHt,2Story,GasA,Y,1,577,154000
350,NridgHt,2Story,GasA,Y,1,577,437154
351,NridgHt,1Story,GasA,Y,1,577,318061
352,ClearCr,1Story,GasA,Y,1,577,190000
353,Edwards,1.5Fin,GasA,N,1,576,95000
354,OldTown,1Story,GasA,Y,1,576,105900
355,SWISU,1.5Fin,GasA,Y,1,576,140000
356,CollgCr,1Story,GasA,Y,1,576,177500
357,Gilbert,1Story,GasA,Y,1,576,173000
358,MeadowV,1Story,GasA,Y,1,576,134000
359,ClearCr,SLvl,GasA,Y,1,576,130000
360,NoRidge,2Story,GasA,Y,1,576,280000
361,Mitchel,SFoyer,GasA,Y,1,576,156000
362,BrkSide,1.5Fin,GasA,Y,1,576,145000
363,Edwards,SFoyer,GasA,Y,1,576,198500
364,BrDale,2Story,GasA,Y,1,576,118000
365,NWAmes,2Story,GasA,Y,1,576,190000
366,IDOTRR,2Story,GasA,Y,1,576,147000
367,NAmes,1Story,GasA,Y,1,576,159000
368,NAmes,SLvl,GasA,Y,1,576,165000
369,NAmes,1Story,GasA,Y,1,576,132000
370,NAmes,1Story,GasA,Y,1,576,162000
371,Gilbert,2Story,GasA,Y,1,576,172400
372,ClearCr,1.5Fin,GasA,Y,1,576,134432
373,SawyerW,1Story,GasA,Y,1,576,125000
374,NAmes,1Story,GasA,Y,1,576,123000
375,CollgCr,2Story,GasA,Y,1,576,219500
376,Edwards,1Story,GasA,N,1,576,61000
377,CollgCr,SFoyer,GasA,Y,1,576,148000
378,Somerst,2Story,GasA,Y,1,576,340000
379,StoneBr,1Story,GasA,Y,1,576,394432
380,Gilbert,2Story,GasA,Y,1,576,179000
381,SWISU,1.5Fin,GasA,Y,1,576,127000
382,Somerst,1Story,GasA,Y,1,576,187750
383,CollgCr,2Story,GasA,Y,1,576,213500
384,SawyerW,1.5Unf,GasA,N,1,576,76000
385,ClearCr,2Story,GasA,Y,1,576,240000
386,Blmngtn,1Story,GasA,Y,1,576,192000
387,Edwards,1.5Fin,GasA,Y,1,576,81000
388,Edwards,SLvl,GasA,Y,1,576,125000
389,CollgCr,1Story,GasA,Y,1,576,191000
390,NridgHt,2Story,GasA,Y,1,576,426000
391,Edwards,1.5Fin,GasA,Y,1,576,119000
392,Mitchel,2Story,GasA,Y,1,576,215000
393,NAmes,1Story,GasA,Y,1,576,106500
394,BrkSide,1Story,GasA,Y,1,576,100000
395,OldTown,1.5Fin,GasA,Y,1,576,109000
396,Edwards,1Story,GasA,Y,1,576,129000
397,CollgCr,1Story,GasA,Y,1,576,123000
398,NAmes,2Story,GasA,Y,1,576,169500
399,IDOTRR,1Story,GasA,Y,1,576,67000
400,Somerst,2Story,GasA,Y,1,575,241000
401,Veenker,1Story,GasA,Y,1,575,245500
402,CollgCr,1Story,GasA,Y,1,574,164990
403,Sawyer,1Story,GasA,Y,1,574,108000
404,NoRidge,2Story,GasA,Y,1,573,258000
405,Gilbert,2Story,GasA,Y,1,573,168000
406,Sawyer,1Story,GasA,Y,1,572,150000
407,SWISU,1.5Fin,GasA,Y,1,572,115000
408,Crawfor,2Story,GasA,Y,1,572,177000
409,NridgHt,2Story,GasA,Y,1,572,280000
410,Somerst,2Story,GasA,Y,1,572,339750
411,Edwards,1Story,GasA,Y,1,572,60000
412,Gilbert,1Story,GasA,N,1,572,145000
413,Somerst,1Story,GasA,Y,1,572,222000
414,OldTown,1Story,GasA,Y,1,572,115000
415,SawyerW,2Story,GasA,Y,1,572,228000
416,Gilbert,1Story,GasA,Y,1,570,181134
417,Sawyer,2Story,GasA,Y,1,570,149500
418,Crawfor,2Story,GasW,N,1,569,239000
419,Edwards,1.5Fin,GasA,N,1,569,126000
420,NAmes,1Story,GasA,Y,1,567,142000
421,Mitchel,SFoyer,GasA,Y,1,567,206300
422,NWAmes,1Story,GasA,Y,1,566,215000
423,Mitchel,1Story,GasA,Y,1,566,113000
424,NoRidge,2Story,GasA,Y,1,565,315000
425,NAmes,1Story,GasA,Y,1,565,139000
426,OldTown,2Story,GasA,Y,1,564,135000
427,SawyerW,SLvl,GasA,Y,1,564,275000
428,NAmes,1Story,GasA,Y,1,564,109008
429,CollgCr,1Story,GasA,Y,1,564,195400
430,Timber,1Story,GasA,Y,1,564,175000
431,BrDale,2Story,GasA,Y,1,564,85400
432,OldTown,1.5Fin,GasA,Y,1,564,79900
433,BrDale,2Story,GasA,Y,1,564,122500
434,Gilbert,2Story,GasA,Y,1,564,181000
435,MeadowV,SFoyer,GasA,Y,1,564,81000
436,CollgCr,2Story,GasA,Y,1,564,212000
437,OldTown,1.5Fin,GasA,Y,1,562,116000
438,BrkSide,1.5Unf,GasA,Y,1,560,119000
439,Crawfor,1Story,GasA,N,1,560,90350
440,Edwards,1.5Fin,GasA,Y,1,560,110000
441,NridgHt,1Story,GasA,Y,1,560,555000
442,Edwards,1Story,GasA,N,1,560,118000
443,BrkSide,1.5Fin,GasA,Y,1,558,162900
444,Blmngtn,1Story,GasA,Y,1,556,172500
445,CollgCr,2Story,GasA,Y,1,556,210000
446,Edwards,1Story,GasA,Y,1,555,127500
447,NAmes,1Story,GasA,Y,1,554,190000
448,Gilbert,2Story,GasA,Y,1,554,199900
449,IDOTRR,1.5Fin,GasA,Y,1,552,119500
450,OldTown,1.5Fin,GasA,Y,1,552,120000
451,OldTown,1Story,GasA,Y,2,552,110000
452,ClearCr,1Story,GasA,Y,2,552,280000
453,Timber,2Story,GasA,Y,2,551,204000
454,Somerst,2Story,GasA,Y,2,551,210000
455,Mitchel,1Story,GasA,Y,2,550,188000
456,NWAmes,1Story,GasA,Y,2,550,175500
457,OldTown,2Story,GasA,N,2,550,98000
458,ClearCr,1Story,GasA,Y,2,550,256000
459,OldTown,2Story,GasA,Y,2,550,161000
460,BrkSide,1.5Fin,GasA,Y,2,550,110000
461,Somerst,2Story,GasA,Y,2,550,263435
462,SWISU,2Story,GasA,Y,2,550,155000
463,Sawyer,1Story,GasA,Y,2,548,62383
464,Crawfor,2Story,GasA,Y,2,548,188700
465,CollgCr,1Story,GasA,Y,2,546,124000
466,Blmngtn,1Story,GasA,Y,2,546,178740
467,NAmes,1Story,GasA,Y,2,546,167000
468,NAmes,2Story,GasA,Y,2,546,146500
469,NridgHt,1Story,GasA,Y,2,546,250000
470,SawyerW,2Story,GasA,Y,2,546,187000
471,StoneBr,1Story,GasA,Y,2,544,212000
472,NWAmes,2Story,GasA,Y,2,544,190000
473,Edwards,SLvl,GasA,Y,2,544,148000
474,NridgHt,1Story,GasA,Y,2,544,440000
475,StoneBr,1Story,GasA,Y,2,544,251000
476,Sawyer,1Story,GasA,Y,2,543,132500
477,CollgCr,1Story,GasA,Y,2,542,208900
478,NridgHt,2Story,GasA,Y,2,542,380000
479,CollgCr,1Story,GasA,Y,2,541,297000
480,OldTown,1Story,GasA,Y,2,541,89471
481,NridgHt,1Story,GasA,Y,2,541,326000
482,NridgHt,1Story,GasA,Y,2,540,374000
483,OldTown,2Story,GasA,Y,2,540,155000
484,Mitchel,1Story,GasA,Y,2,540,164000
485,Sawyer,1Story,GasA,Y,2,540,132500
486,NAmes,1Story,GasA,Y,2,540,147000
487,NAmes,1Story,GasA,Y,2,540,156000
488,NWAmes,1Story,GasA,Y,2,540,175000
489,OldTown,1.5Fin,GasA,N,2,540,160000
490,MeadowV,SFoyer,GasA,Y,2,540,86000
491,MeadowV,2Story,GasA,Y,2,540,115000
492,NAmes,1.5Fin,GasA,Y,2,539,133000
493,Gilbert,2Story,GasA,Y,2,539,172785
494,NAmes,1Story,GasA,Y,2,539,155000
495,OldTown,1Story,GasA,Y,2,539,91300
496,IDOTRR,1Story,GasA,N,2,539,34900
497,NoRidge,1Story,GasA,Y,2,539,430000
498,BrkSide,1.5Fin,GasA,Y,2,539,184000
499,Sawyer,1Story,GasA,Y,2,539,130000
500,NAmes,1Story,GasA,Y,2,539,120000
501,BrDale,2Story,GasA,Y,2,538,113000
502,Somerst,2Story,GasA,Y,2,538,226700
503,Edwards,1Story,GasA,Y,2,538,140000
504,Crawfor,1Story,GasA,Y,2,534,289000
505,NPkVill,2Story,GasA,Y,2,534,147000
506,OldTown,2Story,GasA,Y,2,533,124500
507,SawyerW,2Story,GasA,Y,2,533,215000
508,Somerst,1Story,GasA,Y,2,532,208300
509,OldTown,2Story,GasA,Y,2,532,161000
510,NAmes,1Story,GasA,Y,2,532,124500
511,NAmes,1Story,GasA,Y,2,532,164900
512,NridgHt,1Story,GasA,Y,2,531,202665
513,NAmes,1Story,GasA,Y,2,531,129900
514,Mitchel,1Story,GasA,Y,2,531,134000
515,Crawfor,1.5Unf,Grav,N,2,530,96500
516,NridgHt,1Story,GasA,Y,2,530,402861
517,NWAmes,SLvl,GasA,Y,2,530,158000
518,NoRidge,2Story,GasA,Y,2,530,265000
519,CollgCr,2Story,GasA,Y,2,530,211000
520,Crawfor,2Story,GasA,Y,2,529,234000
521,OldTown,2Story,GasA,N,2,529,106250
522,NAmes,1Story,GasA,Y,2,529,150000
523,BrkSide,1.5Fin,GasA,Y,2,529,159000
524,Edwards,2Story,GasA,Y,2,529,184750
525,NoRidge,2Story,GasA,Y,2,528,315750
526,Somerst,1Story,GasA,Y,2,528,176000
527,NAmes,1Story,GasA,Y,2,528,132000
528,NridgHt,2Story,GasA,Y,2,528,446261
529,Edwards,1Story,GasA,Y,2,528,86000
530,Crawfor,1Story,GasA,Y,2,528,200624
531,Timber,SLvl,GasA,Y,2,528,175000
532,BrkSide,2Story,GasA,Y,2,528,128000
533,NAmes,1Story,GasA,Y,2,528,107500
534,BrkSide,1Story,GasA,N,2,528,39300
